created_at,pm25_air,pm10_air,co_air,no2_air
14-12-2020 12:00,62,97,2,42.3
14-12-2020 13:00,50,85.5,1,34.355
14-12-2020 14:00,44.5,78,2,29.975
14-12-2020 15:00,44.5,78,2,33.015
14-12-2020 16:00,45.5,81.5,2,38.69
14-12-2020 17:00,45,80.5,2,43.715
14-12-2020 18:00,50,94,2,49.235
14-12-2020 19:00,59,105,2,51.195
14-12-2020 20:00,70.5,109.5,2,51.76
14-12-2020 21:00,77,118,2,51.49
14-12-2020 22:00,81.5,121,2,50.26
14-12-2020 23:00,80.5,120,2,48.55
15-12-2020 00:00,78.5,116.5,2,48.23
15-12-2020 01:00,78,117,2,48.6
15-12-2020 02:00,79.5,118.5,2,47.845
15-12-2020 03:00,80.5,120,2,47.2
15-12-2020 04:00,82.5,121,2,47.225
15-12-2020 05:00,91,130.5,2,47.08
15-12-2020 06:00,95,135,2,46.98
15-12-2020 07:00,97,139,2,45.31
15-12-2020 08:00,101,148.5,2,44.395
15-12-2020 09:00,99.5,147,2,44.445
15-12-2020 10:00,79,116,2,46.545
15-12-2020 11:00,66,103.5,2.5,46.5
15-12-2020 12:00,62,98,2,44.95
15-12-2020 13:00,56.5,91.5,2,40.68
15-12-2020 14:00,54,87.5,2,38.25
15-12-2020 15:00,52.5,86.5,2,39.23
15-12-2020 16:00,52.5,88,2,41.465
15-12-2020 17:00,52.5,87,1.5,44.64
15-12-2020 18:00,56,93,2,49.385
15-12-2020 19:00,68.5,106.5,2,51.145
15-12-2020 20:00,80.5,119,2,51.87
15-12-2020 21:00,94,135,2,51.845
15-12-2020 22:00,100,146,2,50.73
15-12-2020 23:00,109.5,167.5,2,50.61
16-12-2020 00:00,114,181.5,2,50.555
16-12-2020 01:00,120,194.5,2,46.37
16-12-2020 02:00,131.5,226.5,2,43.26
16-12-2020 03:00,141.5,256,2,43.27
16-12-2020 04:00,146.5,270,2,44.055
16-12-2020 05:00,144.5,263.5,2,46.215
16-12-2020 06:00,137.5,243.5,2,45.54
16-12-2020 07:00,138.5,252.5,2,44.4
16-12-2020 08:00,137,249.5,2,43.03
16-12-2020 09:00,112,181,2,45.705
16-12-2020 10:00,99,143.5,2,46.37
16-12-2020 11:00,98.5,138.5,2,45.355
16-12-2020 12:00,96,134.5,2,46.165
16-12-2020 13:00,88.5,123,2,44.87
16-12-2020 14:00,78,109.5,2,42.63
16-12-2020 15:00,65.5,98,2,42.55
16-12-2020 16:00,64.5,98.5,2,44.715
16-12-2020 17:00,62.5,96,2,46.92
16-12-2020 18:00,65.5,100.5,2,49.765
16-12-2020 19:00,69,109,2,51.55
16-12-2020 20:00,75.5,116.5,2,52.2
16-12-2020 21:00,77,116.5,2,52.045
16-12-2020 22:00,78.5,116,2,51.305
