,Unnamed: 0,created_at,air_pm25,air_pm10,cpcb_pm25,cpcb_pm10,lc2_pm10,lc2_pm25,lc3_pm10,lc3_pm25
123,129,2020-11-08 07:00:00,85.0,125.0,74.0,140.0,59.7,53.9,199.5,117.3
124,131,2020-11-08 13:00:00,49.0,84.0,49.0,93.0,31.5,28.5,138.6,58.5
125,132,2020-11-08 14:00:00,49.0,86.0,50.0,96.0,29.7,27.0,101.1,61.0
126,133,2020-11-08 15:00:00,46.0,82.0,49.0,89.0,28.8,26.3,66.4,54.5
127,134,2020-11-08 16:00:00,45.0,82.0,50.0,88.0,25.9,23.6,222.2,59.0
128,135,2020-11-08 17:00:00,40.0,74.0,37.0,85.0,24.3,22.0,81.8,44.6
129,136,2020-11-08 18:00:00,50.0,92.0,44.0,97.0,33.4,28.5,129.2,63.6
130,137,2020-11-08 20:00:00,62.0,109.0,68.0,155.0,44.7,40.3,217.5,73.8
131,138,2020-11-09 00:00:00,58.0,102.0,56.0,100.0,39.4,35.5,156.7,67.1
132,139,2020-11-09 01:00:00,57.0,99.0,50.0,103.0,39.5,35.8,140.1,63.1
133,140,2020-11-09 02:00:00,60.0,101.0,57.0,104.0,42.8,38.5,203.8,77.1
134,141,2020-11-09 03:00:00,71.0,108.0,63.0,100.0,49.8,45.1,103.2,71.3
135,142,2020-11-09 04:00:00,82.0,117.0,68.0,106.0,59.3,53.6,156.4,110.9
136,143,2020-11-09 05:00:00,92.0,136.0,78.0,139.0,70.7,63.3,162.9,109.6
137,144,2020-11-09 06:00:00,100.0,154.0,72.0,170.0,84.7,76.2,434.9,158.4
138,145,2020-11-09 07:00:00,114.0,207.0,83.0,187.0,111.1,98.9,368.4,179.2
139,146,2020-11-09 08:00:00,113.0,201.0,80.0,179.0,103.2,92.0,403.2,175.6
140,147,2020-11-09 10:00:00,85.0,124.0,87.0,188.0,69.0,62.4,178.5,108.5
141,148,2020-11-09 13:00:00,63.0,102.0,58.0,108.0,45.0,40.7,156.1,75.5
142,149,2020-11-09 15:00:00,68.0,105.0,52.0,105.0,49.1,44.8,129.3,76.1
143,150,2020-11-09 16:00:00,74.0,114.0,65.0,132.0,54.5,49.5,188.0,93.8
144,151,2020-11-09 17:00:00,79.0,122.0,67.0,149.0,62.0,56.0,219.5,105.0
145,152,2020-11-09 18:00:00,88.0,138.0,79.0,170.0,66.6,59.8,194.7,104.2
146,154,2020-11-09 21:00:00,102.0,168.0,75.0,183.0,95.1,85.9,350.3,201.1
147,155,2020-11-09 22:00:00,103.0,164.0,83.0,188.0,94.8,85.6,368.3,236.9
148,156,2020-11-09 23:00:00,101.0,153.0,82.0,172.0,95.9,86.1,420.9,190.0
149,157,2020-11-10 00:00:00,103.0,156.0,82.0,179.0,90.7,81.7,345.0,168.6
150,158,2020-11-10 01:00:00,101.0,152.0,73.0,186.0,92.7,83.3,368.3,183.7
151,159,2020-11-10 02:00:00,104.0,167.0,77.0,171.0,100.8,90.3,419.1,199.8
152,160,2020-11-10 03:00:00,104.0,158.0,78.0,181.0,97.2,87.6,389.7,213.9
153,161,2020-11-10 04:00:00,100.0,145.0,73.0,174.0,90.8,81.8,378.0,228.6
154,162,2020-11-10 05:00:00,99.0,156.0,77.0,157.0,91.0,81.8,387.7,197.8
155,163,2020-11-10 07:00:00,100.0,159.0,84.0,185.0,92.1,82.8,341.3,198.3
156,165,2020-11-10 09:00:00,95.0,143.0,86.0,182.0,81.0,73.0,581.9,364.7
157,166,2020-11-10 10:00:00,85.0,124.0,83.0,165.0,65.3,58.9,589.5,390.6
158,167,2020-11-10 11:00:00,79.0,115.0,69.0,136.0,63.6,57.3,377.3,261.0
159,168,2020-11-10 12:00:00,72.0,112.0,63.0,136.0,56.0,50.9,454.9,294.9
160,169,2020-11-10 14:00:00,70.0,106.0,61.0,109.0,51.5,46.8,418.5,259.9
161,170,2020-11-10 17:00:00,70.0,116.0,58.0,126.0,51.6,46.3,384.7,274.9
162,171,2020-11-10 20:00:00,92.0,145.0,72.0,181.0,78.7,70.4,808.1,575.8
163,172,2020-11-10 21:00:00,91.0,139.0,79.0,177.0,76.2,68.2,681.0,484.6
164,173,2020-11-10 22:00:00,91.0,136.0,86.0,162.0,75.0,66.8,860.2,620.2
165,174,2020-11-10 23:00:00,93.5,141.5,87.0,174.0,83.2,74.2,1000.8,701.8
166,175,2020-11-11 01:00:00,91.0,137.0,82.0,166.0,73.7,65.8,1147.6,730.1
167,176,2020-11-11 02:00:00,99.0,162.0,76.0,161.0,88.0,76.9,1148.3,802.6
168,177,2020-11-11 03:00:00,97.0,152.0,76.0,164.0,87.4,78.1,831.4,631.8
169,178,2020-11-11 04:00:00,106.0,170.0,80.0,173.0,96.9,86.5,786.5,590.3
170,180,2020-11-11 07:00:00,107.0,167.0,83.0,153.0,96.5,86.7,809.6,621.1
171,181,2020-11-11 08:00:00,111.0,198.0,80.0,177.0,113.4,100.3,713.2,598.8
172,182,2020-11-11 10:00:00,76.5,119.5,73.0,136.0,59.1,53.1,929.9,674.6
173,183,2020-11-11 11:00:00,60.0,98.0,59.0,122.0,41.8,37.4,652.8,494.3
174,184,2020-11-11 13:00:00,40.0,70.0,33.0,78.0,22.3,20.1,737.6,543.1
175,185,2020-11-11 14:00:00,38.0,66.0,31.0,70.0,21.5,19.4,425.9,260.4
176,186,2020-11-11 16:00:00,36.0,72.0,30.0,65.0,20.7,18.8,751.3,667.1
177,187,2020-11-11 19:00:00,50.0,93.0,50.0,101.0,29.2,26.0,1999.9,999.9
178,188,2020-11-11 20:00:00,50.0,94.0,54.0,122.0,30.2,26.0,1999.9,977.2
179,189,2020-11-11 21:00:00,51.0,96.0,45.0,100.0,32.0,25.6,1999.9,999.9
180,190,2020-11-12 07:00:00,73.0,107.0,42.0,72.0,34.5,31.3,1557.8,331.3
181,191,2020-11-12 08:00:00,33.0,74.0,29.0,54.0,17.4,14.0,1120.3,163.1
182,192,2020-11-12 10:00:00,31.0,58.0,25.0,47.0,13.0,11.8,28.9,22.3
