created_at,PM2.5,PM10,NO2,CO,Ozone,Temp,RH,WS
12-10-2020 10:00,61.5,90.25,26.25,0.46,19.8,29.85,80.25,1.05
12-10-2020 11:00,48.5,81,24.65,0.5,27.4,30.3,76.5,0.8
12-10-2020 12:00,38.25,66.25,21.65,0.42,33.92,30.4,75,0.9
12-10-2020 13:00,30,56.25,21.9,0.54,33.3,30.68,76.5,0.4
12-10-2020 14:00,29.25,49.5,24.6,0.55,34.1,30.27,76,0.3
12-10-2020 15:00,26.75,45.25,25.05,0.61,34.47,30.2,77.5,0.35
12-10-2020 16:00,23,43,21.08,0.55,33.23,30.5,84.75,0.9
12-10-2020 17:00,13.75,32.25,24.88,0.36,21.35,30.43,87,0.3
12-10-2020 18:00,14.25,28.25,31.23,0.42,15.93,30.1,87,0.3
12-10-2020 19:00,18.25,30.75,28.85,0.4,14.65,30.1,87,0.8
12-10-2020 20:00,18,25.5,28.52,0.39,15.78,30.02,87,0.3
12-10-2020 21:00,14,21.75,30.15,0.43,10.47,30.05,87,0.38
12-10-2020 22:00,12.25,24,24.2,0.32,13.85,30.05,87,0.3
12-10-2020 23:00,15.75,23.5,23.7,0.26,13,30.1,87,0.3
13-10-2020 00:00,15,23,23.27,0.23,10.68,30.12,87,0.3
13-10-2020 01:00,15,28.75,30.62,0.18,5.2,30.1,87,0.45
13-10-2020 02:00,15,34.25,24.75,0.13,9,30.1,87,0.7
13-10-2020 03:00,14,24.75,21.38,0.09,10.8,30.12,87,0.6
13-10-2020 04:00,11,24,20.43,0.07,10.25,30.5,87,0.43
13-10-2020 05:00,13,31.75,22,0.32,8.3,30.12,87,0.55
13-10-2020 06:00,19.25,29,23.92,0.36,7.03,30.12,87,0.62
13-10-2020 07:00,19,29.5,24.85,0.37,8.07,30.17,87,1.25
13-10-2020 08:00,14.25,22,24.38,0.34,11.15,30.1,87,1.12
13-10-2020 09:00,10.75,22.75,23.5,0.35,12.75,30.08,87,0.8
13-10-2020 10:00,17,25.5,24.65,0.41,14.05,30.1,87,1.5
13-10-2020 11:00,19.5,28.25,23.88,0.46,16.35,30.55,87,2.02
13-10-2020 12:00,19.5,30.75,23.9,0.4,20.53,30.62,87,2.2
13-10-2020 13:00,23.75,31.25,21.3,0.33,23.2,30.52,87,2.7
13-10-2020 14:00,23.25,41.25,22.42,0.31,24.45,30.1,87,2.67
13-10-2020 15:00,24.75,33.25,23.17,0.28,23.95,29.9,87,2.62
13-10-2020 16:00,28.25,34.25,21.6,0.27,26.12,29.62,87,2.92
13-10-2020 17:00,31.5,36,18.75,0.38,30.82,29.6,87,3.38
13-10-2020 18:00,30.25,38.5,19.7,0.4,33.3,29.57,87,3.98
13-10-2020 19:00,28.25,33.75,19.68,0.38,33.5,29.55,87,4.05
13-10-2020 20:00,20,23.5,19.45,0.34,36.75,29.52,87,5.72
13-10-2020 21:00,19.5,21.25,17.27,0.29,36,29.68,87,5.08
13-10-2020 22:00,17,18.5,18.2,0.26,33.77,29.62,87,3.92
13-10-2020 23:00,13,16,22.9,0.24,24.38,29.6,87,2.83
14-10-2020 00:00,9.5,12.25,24.2,0.25,20.65,29.75,87,4.07
14-10-2020 01:00,9,10,23.2,0.23,21.38,29.62,87,4.03
14-10-2020 02:00,11.75,,25.2,0.21,19.82,29.42,87,3.33
14-10-2020 03:00,11.75,,25.02,0.23,16.8,29.4,87,2.85
14-10-2020 04:00,13.25,,25.3,0.2,20.05,29.68,87,2.55
14-10-2020 05:00,11,,32.8,0.31,13.25,29.42,87,1.85
14-10-2020 06:00,11.75,,28.48,0.31,19.3,29.4,87,2.27
14-10-2020 07:00,14,,27.12,0.3,21.1,29.4,87,2.25
14-10-2020 08:00,13.75,,29.78,0.3,19.27,29.4,87,1.95
14-10-2020 09:00,12.5,,38.85,0.32,12.62,29.93,87,1.7
14-10-2020 10:00,11.75,,45.85,0.5,14.7,31.9,87,1.9
14-10-2020 11:00,15.75,,37.23,0.4,19.12,30.1,87,1.98
14-10-2020 12:00,21,,35.05,0.37,15.62,29.9,87,1.3
14-10-2020 13:00,10,29,36.85,0.54,10.43,29.95,87,1.25
14-10-2020 14:00,9.75,29.75,32.3,0.58,17.05,29.77,84.5,1.88
14-10-2020 15:00,9.5,29.25,34.22,0.54,16.43,29.7,80.75,1.27
14-10-2020 16:00,12.25,22.75,37.97,0.54,18.38,29.67,79.75,1.35
14-10-2020 17:00,15.5,26.5,34.83,0.48,18.43,29.73,84.75,1
14-10-2020 18:00,13.5,23,38.2,0.56,12.9,29.67,87,1.12
14-10-2020 19:00,12.5,28.25,39.75,0.62,10.4,29.83,87,1.4
14-10-2020 20:00,16.25,35.25,36.3,0.61,13.05,29.68,87,1.77
14-10-2020 21:00,22.5,33.5,32.45,0.56,14.1,29.52,87,1.97
14-10-2020 22:00,21,26,29.05,0.49,16.1,29.55,87,1.43
14-10-2020 23:00,15,19,27.7,0.35,20.07,29.52,87,0.57
15-10-2020 00:00,13.75,18.25,30.62,0.31,19.3,29.52,87,0.55
15-10-2020 01:00,10.5,18.75,31.18,0.37,18.38,29.62,87,0.9
15-10-2020 02:00,12.5,28.75,28.27,0.39,19.8,29.62,87,1.08
15-10-2020 03:00,13.75,31,26.6,0.32,20.5,29.68,87,1.1
15-10-2020 04:00,12.5,22.5,26.95,0.29,21.55,29.9,87,1.4
15-10-2020 05:00,12.25,24.25,23.78,0.23,20.55,29.58,87,1.15
15-10-2020 06:00,15.25,26.5,24.98,0.21,20,29.58,87,1
15-10-2020 07:00,12.75,30.25,25.2,0.21,18.95,29.67,87,0.68
15-10-2020 08:00,14.75,28,26.02,0.24,18.6,29.7,86.5,1.08
15-10-2020 09:00,22,29,25.75,0.29,22.35,29.7,83,1.6
15-10-2020 10:00,19.25,32,24.95,0.29,29.77,29.8,77.25,1.12
15-10-2020 11:00,19,31.75,24.82,0.27,33.45,30.07,74.5,1.32
15-10-2020 12:00,16,32.25,23.45,0.28,34.4,30.18,71.75,1.45
15-10-2020 13:00,16.25,36,20.9,0.27,38.1,30.15,70,1.48
15-10-2020 14:00,17.5,36,22.65,0.23,38.55,29.93,68,1
15-10-2020 15:00,20.5,39.25,21.42,0.18,32.55,30.17,72.5,0.6
15-10-2020 16:00,23.5,59.5,21.9,0.21,34.5,29.93,70,0.53
15-10-2020 17:00,18.5,79.5,26.07,0.32,32.3,29.7,73.25,0.35
15-10-2020 18:00,19.5,46,29.2,0.37,25.65,29.73,75.25,0.3
15-10-2020 19:00,26.25,48,30,0.45,18.23,29.7,80.5,0.32
15-10-2020 20:00,25,47.75,33.12,0.61,11.75,29.77,83.75,0.3
