,created_at,pm25,pm10,rh,temp
215,2020-11-03 06:45:00,99.8,109.4,61.66,27.02
216,2020-11-03 07:00:00,106.2,116.4,61.22,27.38
217,2020-11-03 07:15:00,106.6,116.6,61.31,27.41
218,2020-11-03 07:30:00,107.6,117.8,61.29,27.54
219,2020-11-03 07:45:00,107.7,118.0,58.52,28.59
220,2020-11-03 08:00:00,103.8,113.8,56.27,28.73
221,2020-11-03 08:15:00,99.3,109.5,56.13,28.58
222,2020-11-03 08:30:00,100.5,110.5,54.1,28.97
223,2020-11-03 08:45:00,103.8,114.6,52.37,29.39
224,2020-11-03 09:00:00,96.4,106.1,50.94,29.53
225,2020-11-03 09:15:00,94.1,103.7,50.78,30.15
226,2020-11-03 09:30:00,98.3,108.7,47.7,30.33
227,2020-11-03 09:45:00,73.4,81.0,42.97,30.7
228,2020-11-03 10:00:00,69.2,76.6,42.51,31.09
229,2020-11-03 10:15:00,69.8,77.1,41.81,31.54
230,2020-11-03 10:30:00,71.1,78.5,41.65,32.34
231,2020-11-03 10:45:00,66.0,72.9,41.0,32.87
232,2020-11-03 11:00:00,65.8,72.7,41.73,32.99
233,2020-11-03 11:15:00,61.4,67.7,43.09,33.03
234,2020-11-03 11:30:00,58.1,63.7,42.89,33.63
235,2020-11-03 11:45:00,57.6,63.1,42.29,33.82
236,2020-11-03 12:00:00,52.7,57.8,42.2,34.11
237,2020-11-03 12:15:00,49.8,54.5,42.7,34.23
238,2020-11-03 12:30:00,47.2,51.8,42.42,34.52
239,2020-11-03 12:45:00,47.6,52.3,40.78,35.28
240,2020-11-03 13:00:00,48.9,53.5,40.75,34.92
241,2020-11-03 13:15:00,48.8,53.8,40.45,35.35
242,2020-11-03 13:30:00,46.2,50.4,39.82,35.86
243,2020-11-03 13:45:00,43.7,47.8,38.88,36.55
244,2020-11-03 14:00:00,48.1,52.4,38.69,36.36
245,2020-11-03 14:30:00,48.6,52.9,39.71,35.1
246,2020-11-03 14:45:00,46.7,51.2,39.25,35.37
247,2020-11-03 15:15:00,49.2,53.9,38.85,35.69
248,2020-11-03 15:30:00,45.3,49.6,39.25,35.06
249,2020-11-03 15:45:00,43.0,47.0,39.46,34.77
250,2020-11-03 16:00:00,44.5,48.9,38.89,35.13
251,2020-11-03 16:15:00,44.0,48.4,38.78,34.88
252,2020-11-03 16:30:00,46.8,51.3,40.13,34.41
253,2020-11-03 16:45:00,45.7,50.1,39.16,33.89
254,2020-11-03 17:00:00,45.7,50.4,39.04,33.68
255,2020-11-03 17:15:00,48.1,52.6,39.5,33.37
256,2020-11-03 17:30:00,53.7,59.5,40.38,32.55
257,2020-11-03 17:45:00,56.8,62.7,41.03,32.08
258,2020-11-03 18:00:00,61.2,67.7,40.69,32.0
259,2020-11-03 18:15:00,62.8,69.2,40.52,31.92
260,2020-11-03 18:30:00,63.6,70.0,39.36,31.61
261,2020-11-03 18:45:00,61.5,68.0,39.19,31.33
262,2020-11-03 19:00:00,64.7,71.5,39.88,31.09
263,2020-11-03 19:15:00,65.1,72.3,40.22,30.96
264,2020-11-03 19:30:00,62.2,68.8,40.49,30.69
265,2020-11-03 19:45:00,62.8,69.2,39.68,30.5
266,2020-11-03 20:00:00,64.5,71.7,40.04,30.18
267,2020-11-03 20:15:00,65.0,72.1,40.55,30.04
268,2020-11-03 20:30:00,67.7,75.2,40.94,29.93
269,2020-11-03 20:45:00,65.3,72.2,41.34,29.97
270,2020-11-03 21:00:00,64.7,71.5,41.34,29.92
271,2020-11-03 21:15:00,65.0,71.8,40.88,29.75
272,2020-11-03 21:30:00,60.3,66.7,39.84,29.76
273,2020-11-03 21:45:00,59.3,66.1,40.05,29.63
274,2020-11-03 22:00:00,56.2,62.0,39.45,29.61
275,2020-11-03 22:15:00,60.3,67.3,39.35,29.51
276,2020-11-03 22:30:00,58.7,65.2,39.43,29.42
277,2020-11-03 22:45:00,56.7,62.6,39.49,29.52
278,2020-11-03 23:00:00,57.5,63.8,40.91,29.41
279,2020-11-03 23:15:00,60.7,67.6,40.71,29.17
280,2020-11-03 23:30:00,64.3,71.0,41.65,28.87
281,2020-11-03 23:45:00,64.3,71.1,42.75,28.86
282,2020-11-04 00:00:00,63.3,70.3,44.19,28.88
283,2020-11-04 00:15:00,63.0,70.0,45.71,28.73
284,2020-11-04 00:30:00,63.6,70.6,45.5,28.89
285,2020-11-04 00:45:00,65.5,72.8,46.89,28.54
286,2020-11-04 01:00:00,65.6,73.8,46.26,28.3
287,2020-11-04 01:15:00,63.3,70.6,47.48,28.16
288,2020-11-04 01:30:00,63.9,71.1,49.56,27.96
289,2020-11-04 01:45:00,66.6,73.7,50.71,27.57
290,2020-11-04 02:00:00,65.4,72.6,50.85,27.52
291,2020-11-04 02:15:00,68.1,75.5,51.75,27.38
292,2020-11-04 02:45:00,70.1,77.4,51.03,27.3
293,2020-11-04 03:00:00,67.8,74.7,50.72,27.22
294,2020-11-04 03:15:00,63.7,70.3,48.66,27.19
295,2020-11-04 03:30:00,69.0,75.9,47.7,27.11
296,2020-11-04 03:45:00,72.3,79.4,45.76,27.05
297,2020-11-04 04:00:00,79.0,87.1,47.44,26.91
298,2020-11-04 04:15:00,69.6,76.4,50.3,27.09
299,2020-11-04 04:30:00,77.6,85.7,49.53,26.97
300,2020-11-04 04:45:00,119.5,133.1,48.18,26.82
301,2020-11-04 05:00:00,103.9,114.9,50.04,26.95
302,2020-11-04 05:15:00,111.6,123.5,50.51,26.73
303,2020-11-04 05:30:00,98.0,108.1,49.73,26.49
304,2020-11-04 05:45:00,108.5,119.5,51.12,26.5
305,2020-11-04 06:00:00,112.2,123.8,50.22,26.49
306,2020-11-04 06:15:00,111.3,122.6,52.14,26.49
307,2020-11-04 06:30:00,109.3,120.8,52.52,26.43
308,2020-11-04 06:45:00,96.1,106.6,49.52,26.56
309,2020-11-04 07:00:00,104.7,115.8,49.95,26.83
310,2020-11-04 07:15:00,113.0,125.4,49.86,27.17
311,2020-11-04 07:30:00,108.1,120.2,50.48,27.4
312,2020-11-04 07:45:00,100.9,111.1,51.66,27.68
313,2020-11-04 08:00:00,90.0,99.1,49.08,28.09
314,2020-11-04 08:15:00,93.4,103.6,46.6,28.34
315,2020-11-04 08:30:00,89.1,102.1,43.94,28.47
316,2020-11-04 08:45:00,91.3,101.7,44.0,28.73
317,2020-11-04 09:00:00,86.7,96.7,43.28,29.13
318,2020-11-04 09:15:00,78.2,86.8,42.01,29.34
319,2020-11-04 09:30:00,79.4,88.3,41.5,30.09
320,2020-11-04 09:45:00,43.4,48.2,35.29,30.18
321,2020-11-04 10:00:00,39.7,44.2,35.07,30.92
322,2020-11-04 10:15:00,35.9,39.9,33.19,30.75
323,2020-11-04 10:30:00,36.1,40.3,33.21,30.87
324,2020-11-04 10:45:00,34.6,38.5,32.68,31.61
325,2020-11-04 11:00:00,35.2,39.0,33.08,31.71
326,2020-11-04 11:15:00,32.2,35.9,31.31,31.92
327,2020-11-04 11:30:00,32.3,35.8,30.8,32.59
328,2020-11-04 11:45:00,31.5,34.8,29.81,32.73
329,2020-11-04 12:00:00,30.7,34.1,27.91,32.9
330,2020-11-04 12:15:00,31.2,34.8,27.91,32.78
331,2020-11-04 12:30:00,32.1,35.4,28.1,32.9
332,2020-11-04 12:45:00,31.4,34.6,27.36,34.01
333,2020-11-04 13:00:00,32.5,35.8,27.22,33.72
334,2020-11-04 13:15:00,30.9,34.2,28.26,34.14
335,2020-11-04 13:30:00,30.2,33.5,27.51,34.29
336,2020-11-04 13:45:00,31.4,34.5,26.86,34.23
337,2020-11-04 14:00:00,30.4,33.5,27.0,34.44
338,2020-11-04 14:15:00,33.3,36.6,28.11,34.24
339,2020-11-04 14:30:00,33.1,36.5,27.38,35.1
340,2020-11-04 14:45:00,34.3,37.9,28.38,35.01
341,2020-11-04 15:15:00,31.9,35.4,29.07,35.08
342,2020-11-04 15:30:00,35.7,39.3,28.1,35.16
343,2020-11-04 15:45:00,35.7,39.4,28.13,34.46
344,2020-11-04 16:00:00,35.3,39.5,28.39,34.64
345,2020-11-04 16:15:00,35.8,39.5,28.14,34.62
346,2020-11-04 16:30:00,35.1,38.7,28.87,34.33
347,2020-11-04 16:45:00,33.6,37.3,29.35,34.19
348,2020-11-04 17:00:00,33.2,36.7,31.74,33.6
349,2020-11-04 17:15:00,34.9,38.8,30.72,32.57
350,2020-11-04 17:30:00,35.1,39.1,31.83,31.99
351,2020-11-04 17:45:00,37.0,41.5,33.12,31.66
352,2020-11-04 18:00:00,36.4,40.4,33.06,31.46
353,2020-11-04 18:15:00,39.3,44.0,34.63,30.93
354,2020-11-04 18:30:00,36.8,40.9,36.65,30.67
